epoch,accuracy,jacard_coef,loss,val_accuracy,val_jacard_coef,val_loss
0,0.3160460591316223,0.1172814592719078,0.440729558467865,0.28060510754585266,0.12191595882177353,0.41004127264022827
1,0.3576505184173584,0.1793435961008072,0.4005516469478607,0.3755170404911041,0.17801174521446228,0.37563514709472656
2,0.41331103444099426,0.20632123947143555,0.3793507218360901,0.39117738604545593,0.19419722259044647,0.3726341128349304
3,0.40606358647346497,0.21033504605293274,0.37127864360809326,0.3692309856414795,0.1911879926919937,0.3927202820777893
4,0.3895697295665741,0.20806749165058136,0.37898075580596924,0.425272136926651,0.20797228813171387,0.3583005368709564
5,0.4052523672580719,0.22052991390228271,0.3628612160682678,0.3524841070175171,0.2001948356628418,0.3486524224281311
6,0.4165444076061249,0.23022878170013428,0.3600563704967499,0.41359296441078186,0.19039295613765717,0.3669150471687317
7,0.39777901768684387,0.21596141159534454,0.36554768681526184,0.4153037369251251,0.2115936577320099,0.3510361909866333
8,0.40812405943870544,0.22439594566822052,0.3564234972000122,0.40654972195625305,0.20497965812683105,0.3771699368953705
9,0.40941083431243896,0.22610962390899658,0.36043158173561096,0.42404308915138245,0.2137000560760498,0.34819287061691284
10,0.4105410873889923,0.22657594084739685,0.3580751121044159,0.408529669046402,0.20766010880470276,0.3567441701889038
11,0.40408095717430115,0.22158415615558624,0.3668525815010071,0.42317071557044983,0.22295263409614563,0.3466961979866028
12,0.3981788456439972,0.22869320213794708,0.3542012572288513,0.4019644260406494,0.21220330893993378,0.3575056195259094
13,0.4030317962169647,0.2252286672592163,0.35925665497779846,0.3744145631790161,0.2079300433397293,0.34368735551834106
14,0.3989255428314209,0.22773325443267822,0.3591479957103729,0.38071510195732117,0.20566236972808838,0.34849491715431213
15,0.40689167380332947,0.22828137874603271,0.35346755385398865,0.416971892118454,0.2189280241727829,0.3448180854320526
16,0.41590988636016846,0.23189496994018555,0.35399872064590454,0.4005490839481354,0.21340565383434296,0.3491317629814148
17,0.4178977906703949,0.23522484302520752,0.3505973219871521,0.40775611996650696,0.21751365065574646,0.34920594096183777
18,0.41109395027160645,0.2303333580493927,0.3520285189151764,0.38783034682273865,0.21115481853485107,0.3471895158290863
19,0.41407766938209534,0.23355317115783691,0.3496149778366089,0.4007894694805145,0.2109510600566864,0.35213106870651245
0,0.3069774806499481,0.12305955588817596,0.4250423014163971,0.3463992178440094,0.12816765904426575,0.4028846323490143
1,0.3634868562221527,0.15844960510730743,0.39912715554237366,0.3433264493942261,0.18258102238178253,0.36674532294273376
2,0.38147303462028503,0.2049148976802826,0.37604671716690063,0.32392123341560364,0.17268648743629456,0.38251325488090515
3,0.3606049716472626,0.19803744554519653,0.3755325973033905,0.3453288972377777,0.1885034739971161,0.34963366389274597
4,0.3706025779247284,0.20700526237487793,0.36942604184150696,0.3605171740055084,0.18787753582000732,0.35412660241127014
5,0.38541772961616516,0.20993521809577942,0.36766597628593445,0.4009561240673065,0.20092110335826874,0.3482338786125183
6,0.39046987891197205,0.2118348330259323,0.3631328344345093,0.3925112783908844,0.2020111382007599,0.3453729748725891
7,0.3944922387599945,0.21577605605125427,0.36156243085861206,0.39669427275657654,0.2001078575849533,0.3524409830570221
8,0.398492693901062,0.21689434349536896,0.3618430197238922,0.4044419229030609,0.2064393013715744,0.34337079524993896
9,0.39886561036109924,0.2178722321987152,0.3598700761795044,0.40097954869270325,0.2037096470594406,0.3484039902687073
0,0.22200679779052734,0.1107986569404602,0.42812490463256836,0.23128855228424072,0.11108408868312836,0.4180072247982025
1,0.29171574115753174,0.11234559863805771,0.4273103177547455,0.3107406198978424,0.11268174648284912,0.4171651005744934
2,0.35000142455101013,0.11787247657775879,0.4250079095363617,0.32180431485176086,0.11897341161966324,0.4157540798187256
3,0.36524245142936707,0.1365034431219101,0.4190189242362976,0.32813215255737305,0.1457565724849701,0.41936469078063965
4,0.363820344209671,0.1670837104320526,0.41074568033218384,0.3394947946071625,0.16058047115802765,0.4068288207054138
5,0.36951518058776855,0.177128404378891,0.40589290857315063,0.3467545509338379,0.16308099031448364,0.40066322684288025
6,0.37847355008125305,0.18423859775066376,0.4025513231754303,0.3476695120334625,0.16804620623588562,0.3962098956108093
7,0.3842628300189972,0.18911702930927277,0.3994666039943695,0.34626638889312744,0.1689276546239853,0.39611247181892395
8,0.38675692677497864,0.19328539073467255,0.3975617289543152,0.345604807138443,0.1707499772310257,0.3939161002635956
9,0.39384543895721436,0.19074185192584991,0.3964146673679352,0.3531980514526367,0.17194558680057526,0.3864218592643738
0,0.2927621901035309,0.1314551681280136,0.4208984971046448,0.33962318301200867,0.1733853667974472,0.3910418748855591
1,0.3224092721939087,0.1816345602273941,0.39755406975746155,0.34056708216667175,0.1869683414697647,0.40545839071273804
2,0.3710889518260956,0.1993812620639801,0.3818221390247345,0.4053153693675995,0.18930287659168243,0.3695813715457916
3,0.40761038661003113,0.21411053836345673,0.36424165964126587,0.3327890634536743,0.17727608978748322,0.42654871940612793
4,0.3980173170566559,0.21435347199440002,0.37108057737350464,0.38050055503845215,0.184317484498024,0.3740745484828949
5,0.40732499957084656,0.21836528182029724,0.36668360233306885,0.40456250309944153,0.19049404561519623,0.373098224401474
6,0.4135168790817261,0.2261906862258911,0.35815852880477905,0.38544726371765137,0.18274882435798645,0.3723629117012024
7,0.4057178795337677,0.22568409144878387,0.35937610268592834,0.4020579755306244,0.1891757696866989,0.35282498598098755
8,0.4044162333011627,0.22697143256664276,0.35808858275413513,0.3916119635105133,0.18871638178825378,0.35633254051208496
9,0.39760056138038635,0.21716482937335968,0.3571574091911316,0.39623138308525085,0.20488715171813965,0.34647804498672485
10,0.41327497363090515,0.23179921507835388,0.3524847626686096,0.4014855623245239,0.20107977092266083,0.3445873260498047
11,0.40124547481536865,0.2250635176897049,0.3535166382789612,0.401620477437973,0.20791038870811462,0.34715303778648376
12,0.41371920704841614,0.2316746711730957,0.3477032780647278,0.38471534848213196,0.20574602484703064,0.3743191659450531
13,0.42222917079925537,0.24105815589427948,0.34126195311546326,0.38067328929901123,0.20348772406578064,0.3760882019996643
14,0.42478322982788086,0.2435833215713501,0.341072142124176,0.3735804557800293,0.20036384463310242,0.3740321397781372
15,0.4247508943080902,0.24247083067893982,0.3414924740791321,0.3568679988384247,0.19689814746379852,0.40703386068344116
16,0.4187271296977997,0.24244484305381775,0.34448546171188354,0.3907229006290436,0.210491344332695,0.3579908013343811
17,0.4296097457408905,0.24484853446483612,0.33970028162002563,0.39079776406288147,0.21572339534759521,0.3649429678916931
18,0.441782146692276,0.2531530261039734,0.33453577756881714,0.3896251618862152,0.21867379546165466,0.3798362612724304
19,0.44841882586479187,0.2596544325351715,0.3357189893722534,0.40338030457496643,0.22112175822257996,0.36022812128067017
0,0.19024258852005005,0.11129317432641983,0.42794665694236755,0.19003617763519287,0.11252190172672272,0.41675883531570435
1,0.1869121640920639,0.11210048198699951,0.4272856116294861,0.1834554523229599,0.11349235475063324,0.41573625802993774
2,0.2001400589942932,0.11280442774295807,0.42658305168151855,0.23360562324523926,0.11463046073913574,0.4145607054233551
3,0.29470425844192505,0.11603295803070068,0.42443424463272095,0.31945714354515076,0.12051558494567871,0.4126734733581543
4,0.3813786506652832,0.14134801924228668,0.41246500611305237,0.26968175172805786,0.1516714245080948,0.4326305389404297
5,0.4068404734134674,0.198231503367424,0.38881438970565796,0.2743123769760132,0.1619008183479309,0.45415177941322327
6,0.4029226303100586,0.19964517652988434,0.3782889246940613,0.2728523313999176,0.16297867894172668,0.4590500295162201
7,0.40921521186828613,0.2107132226228714,0.3704405426979065,0.27383044362068176,0.16352084279060364,0.4551943838596344
8,0.40777280926704407,0.21245698630809784,0.36694881319999695,0.2732488214969635,0.16474531590938568,0.4585700035095215
9,0.4084470272064209,0.21504580974578857,0.36468374729156494,0.27439919114112854,0.16618254780769348,0.45715269446372986
10,0.40754175186157227,0.2148076742887497,0.3649846613407135,0.2818942666053772,0.1678333580493927,0.44414085149765015
11,0.4118537902832031,0.21727339923381805,0.36160343885421753,0.28175950050354004,0.1686667799949646,0.44950228929519653
12,0.4136461019515991,0.22074846923351288,0.357845276594162,0.2854948043823242,0.169854998588562,0.4502280652523041
13,0.4113213121891022,0.2215484380722046,0.35699737071990967,0.28931811451911926,0.1703907698392868,0.44697362184524536
14,0.4105144739151001,0.22242772579193115,0.35535290837287903,0.29103633761405945,0.170861154794693,0.448169082403183
15,0.4090624153614044,0.2236967384815216,0.3538057804107666,0.29229259490966797,0.17153462767601013,0.4483256936073303
16,0.4073890447616577,0.22441622614860535,0.3525563180446625,0.29347550868988037,0.17221321165561676,0.4463045001029968
17,0.4063185155391693,0.2250986546278,0.35137325525283813,0.2947971224784851,0.1728161871433258,0.4455658495426178
18,0.4053764343261719,0.22573146224021912,0.35060542821884155,0.29657983779907227,0.1734374463558197,0.44387346506118774
19,0.40468040108680725,0.22653651237487793,0.3487876057624817,0.2975403368473053,0.17397432029247284,0.44488897919654846
20,0.4056943356990814,0.2281063348054886,0.3473243713378906,0.2995999753475189,0.1746681034564972,0.44452404975891113
21,0.4050064980983734,0.22857356071472168,0.3466774821281433,0.30086758732795715,0.17531093955039978,0.4433557391166687
22,0.40520915389060974,0.22938129305839539,0.3450935184955597,0.30165597796440125,0.17584189772605896,0.4440949559211731
23,0.40522727370262146,0.22983896732330322,0.3444322943687439,0.30285361409187317,0.17645113170146942,0.4443124830722809
24,0.4064507484436035,0.23102612793445587,0.34314143657684326,0.3045666813850403,0.17724397778511047,0.44463402032852173
25,0.40810903906822205,0.2324819564819336,0.3421763777732849,0.3062971234321594,0.17818596959114075,0.44472914934158325
26,0.4085496664047241,0.2329842746257782,0.3409244418144226,0.30682694911956787,0.17886586487293243,0.44593700766563416
27,0.41041210293769836,0.23459777235984802,0.34007734060287476,0.3077515661716461,0.17976142466068268,0.44766688346862793
28,0.412649542093277,0.23626884818077087,0.338711678981781,0.3124087154865265,0.18159055709838867,0.4453304708003998
29,0.41227805614471436,0.23641832172870636,0.33886444568634033,0.31265443563461304,0.18269047141075134,0.4463927745819092
30,0.41419991850852966,0.23803475499153137,0.33746737241744995,0.3151799738407135,0.18434786796569824,0.4465698301792145
31,0.41604647040367126,0.23962588608264923,0.33614227175712585,0.3150787651538849,0.1852271854877472,0.44869524240493774
32,0.4170316457748413,0.24044060707092285,0.3367449641227722,0.31662070751190186,0.18628458678722382,0.4475173056125641
33,0.4179988205432892,0.24104781448841095,0.33579954504966736,0.3170597553253174,0.1868981420993805,0.4483274519443512
34,0.4200993776321411,0.24280913174152374,0.33441752195358276,0.3187102973461151,0.18781763315200806,0.4487871527671814
35,0.42170795798301697,0.2439430058002472,0.3333279490470886,0.31804803013801575,0.18813610076904297,0.45079508423805237
36,0.4232114553451538,0.2453235685825348,0.3329620361328125,0.32078447937965393,0.18931348621845245,0.4489719271659851
37,0.4241127669811249,0.24608759582042694,0.33188313245773315,0.31974920630455017,0.18950393795967102,0.4515228867530823
38,0.4260077476501465,0.24761486053466797,0.3321997821331024,0.32184699177742004,0.1905619204044342,0.4506780505180359
39,0.4268054664134979,0.24797964096069336,0.33158549666404724,0.3223794400691986,0.19115543365478516,0.45018941164016724
40,0.42985573410987854,0.25015801191329956,0.32957226037979126,0.3242041766643524,0.19217891991138458,0.451078325510025
41,0.43225905299186707,0.25231775641441345,0.3285294473171234,0.32911351323127747,0.19422432780265808,0.44787073135375977
42,0.4318227469921112,0.25174278020858765,0.3283543288707733,0.32346197962760925,0.1930018663406372,0.4544820189476013
43,0.43539920449256897,0.25390809774398804,0.32661208510398865,0.3257885277271271,0.19418826699256897,0.45554810762405396
44,0.43736836314201355,0.25585490465164185,0.326729416847229,0.3325099050998688,0.19705496728420258,0.4512733817100525
45,0.44063565135002136,0.25830844044685364,0.3245576024055481,0.33595243096351624,0.19837579131126404,0.4492107033729553
46,0.43757450580596924,0.2559501528739929,0.3252401351928711,0.3308347761631012,0.1966053992509842,0.4509860575199127
47,0.43919336795806885,0.256609171628952,0.32356634736061096,0.3367515504360199,0.1984805464744568,0.4460688531398773
48,0.44157639145851135,0.25878554582595825,0.3233242928981781,0.3434065282344818,0.20040759444236755,0.44162288308143616
49,0.4385906159877777,0.2569970488548279,0.3238595128059387,0.33284494280815125,0.19749665260314941,0.4508746266365051
50,0.44594869017601013,0.2617310583591461,0.3192555010318756,0.34118643403053284,0.20074398815631866,0.44685086607933044
51,0.4463266432285309,0.2627742886543274,0.3192571699619293,0.3441501557826996,0.20174074172973633,0.4445468485355377
52,0.44458556175231934,0.2610985040664673,0.32038286328315735,0.3362415134906769,0.1990852952003479,0.44821515679359436
53,0.4516299068927765,0.26705336570739746,0.3184170126914978,0.35080352425575256,0.20484885573387146,0.4419258236885071
54,0.44232186675071716,0.2594364881515503,0.3216612935066223,0.33224520087242126,0.19716788828372955,0.44986820220947266
55,0.4495660364627838,0.2662321925163269,0.3220534920692444,0.34911200404167175,0.20492586493492126,0.4460659623146057
56,0.45259010791778564,0.2652380168437958,0.32002535462379456,0.3363454341888428,0.19935207068920135,0.4544540345668793
57,0.45993778109550476,0.27145904302597046,0.3165559768676758,0.35549116134643555,0.20767951011657715,0.4484943747520447
58,0.4542630612850189,0.26872795820236206,0.3136370778083801,0.3366815149784088,0.20100446045398712,0.45665979385375977
59,0.4652371406555176,0.2748256325721741,0.3061123490333557,0.34118008613586426,0.2045787125825882,0.4692697525024414
60,0.46997690200805664,0.2793494760990143,0.3068053424358368,0.3518660068511963,0.20970889925956726,0.46222934126853943
61,0.459075003862381,0.2745315730571747,0.3136553168296814,0.3716054856777191,0.2147824764251709,0.4474387764930725
62,0.4451965391635895,0.26279526948928833,0.3137061297893524,0.3248666524887085,0.19486397504806519,0.466988742351532
63,0.46794554591178894,0.27837538719177246,0.3052027225494385,0.3509855270385742,0.2073276937007904,0.4665873944759369
64,0.45749759674072266,0.26955896615982056,0.30751878023147583,0.3317003846168518,0.1958320289850235,0.47065219283103943
65,0.45902907848358154,0.27037298679351807,0.3132355809211731,0.3471771776676178,0.20452001690864563,0.4767397940158844
66,0.4226929843425751,0.2500613033771515,0.3501778542995453,0.36048606038093567,0.21332673728466034,0.4032287001609802
67,0.46362796425819397,0.2723129391670227,0.3209141492843628,0.3988792896270752,0.23399703204631805,0.34583407640457153
68,0.46440255641937256,0.27434492111206055,0.3187727630138397,0.3868454396724701,0.22600185871124268,0.3665734529495239
69,0.4682435691356659,0.27632826566696167,0.31257668137550354,0.3842308521270752,0.2218351811170578,0.38804036378860474
70,0.47394537925720215,0.2825019657611847,0.3062751293182373,0.3749904930591583,0.21757948398590088,0.4071846604347229
71,0.47755566239356995,0.2846125364303589,0.3058125972747803,0.38109779357910156,0.22156491875648499,0.3915671706199646
72,0.4762415587902069,0.2845679521560669,0.3112475872039795,0.3958698809146881,0.23124714195728302,0.3710436224937439
73,0.48323461413383484,0.28986862301826477,0.3065211772918701,0.4229721128940582,0.24093571305274963,0.34645572304725647
74,0.4924825131893158,0.2935965657234192,0.30268043279647827,0.41601482033729553,0.24103514850139618,0.361245334148407
75,0.5070598721504211,0.30468761920928955,0.2868587076663971,0.3908267021179199,0.22830872237682343,0.38937681913375854
76,0.5204721093177795,0.31767264008522034,0.27820277214050293,0.38171419501304626,0.2255762368440628,0.4134129583835602
77,0.5123867392539978,0.31346064805984497,0.2802651524543762,0.3878730237483978,0.22466020286083221,0.41743260622024536
78,0.5232333540916443,0.31895187497138977,0.27536043524742126,0.38474413752555847,0.22762945294380188,0.40816646814346313
79,0.5254663228988647,0.32418638467788696,0.2724882662296295,0.40801772475242615,0.23716112971305847,0.4065183997154236
80,0.5223905444145203,0.320067435503006,0.2736935019493103,0.377351313829422,0.22229985892772675,0.41864490509033203
81,0.5314934253692627,0.32940730452537537,0.26560860872268677,0.3883892297744751,0.22887451946735382,0.4198717474937439
82,0.5360895991325378,0.33023133873939514,0.2643513083457947,0.39377641677856445,0.23309412598609924,0.4015584886074066
83,0.5226477980613708,0.32616734504699707,0.2667314410209656,0.3935239613056183,0.22858290374279022,0.39879193902015686
84,0.5308973789215088,0.3255818784236908,0.26259294152259827,0.40422120690345764,0.2379491776227951,0.38045546412467957
85,0.5226905941963196,0.3264967203140259,0.2691115736961365,0.4600363075733185,0.2699275016784668,0.33149582147598267
86,0.4831942617893219,0.29409486055374146,0.2961030900478363,0.41425156593322754,0.23754557967185974,0.3556860089302063
87,0.5136999487876892,0.31505489349365234,0.2580905258655548,0.3973654806613922,0.22332188487052917,0.38992124795913696
88,0.5386235117912292,0.33209365606307983,0.23525989055633545,0.39010587334632874,0.22336514294147491,0.4028402268886566
89,0.5321301221847534,0.33400365710258484,0.23335783183574677,0.36645808815956116,0.2109815776348114,0.4175143837928772
90,0.5313025116920471,0.33426526188850403,0.23684179782867432,0.3805605471134186,0.21861353516578674,0.41117849946022034
91,0.5361272692680359,0.3381187915802002,0.22605201601982117,0.38585078716278076,0.22288212180137634,0.41781526803970337
