epoch,accuracy,jacard_coef,loss,val_accuracy,val_jacard_coef,val_loss
0,0.07831673324108124,0.04512174427509308,0.7845523357391357,0.08188216388225555,0.04581552743911743,0.7934750914573669
1,0.07749820500612259,0.044922828674316406,0.782294511795044,0.08188216388225555,0.04581552743911743,0.7934750914573669
2,0.07750004529953003,0.044923413544893265,0.7839558124542236,0.08188216388225555,0.04581552743911743,0.7934750914573669
3,0.07749802619218826,0.0449223555624485,0.7808555960655212,0.08188216388225555,0.04581552743911743,0.7934750914573669
4,0.07749976962804794,0.044923245906829834,0.780853271484375,0.08188216388225555,0.04581552743911743,0.7934750914573669
5,0.077500119805336,0.04492368921637535,0.7822926640510559,0.08188216388225555,0.04581552743911743,0.7934750914573669
6,0.07749912887811661,0.044923026114702225,0.7808530926704407,0.08188216388225555,0.04581552743911743,0.7934750914573669
7,0.07749814540147781,0.044922515749931335,0.7808542251586914,0.08188216388225555,0.04581552743911743,0.7934750914573669
8,0.0775003582239151,0.04492365941405296,0.7808529734611511,0.08188216388225555,0.04581552743911743,0.7934750914573669
9,0.0774969682097435,0.044921960681676865,0.7808555960655212,0.08188216388225555,0.04581552743911743,0.7934750914573669
10,0.07749780267477036,0.04492215812206268,0.782294750213623,0.08188216388225555,0.04581552743911743,0.7934750914573669
11,0.07750002294778824,0.044923435896635056,0.7837329506874084,0.08188216388225555,0.04581552743911743,0.7934750914573669
12,0.07750095427036285,0.044924214482307434,0.7808529734611511,0.08188216388225555,0.04581552743911743,0.7934750914573669
13,0.07750093191862106,0.04492410644888878,0.7808521389961243,0.08188216388225555,0.04581552743911743,0.7934750914573669
14,0.07749957591295242,0.044923316687345505,0.780852735042572,0.08188216388225555,0.04581552743911743,0.7934750914573669
15,0.0775008425116539,0.044924017041921616,0.7822925448417664,0.08188216388225555,0.04581552743911743,0.7934750914573669
16,0.07749655842781067,0.04492170736193657,0.7808564305305481,0.08188216388225555,0.04581552743911743,0.7934750914573669
17,0.07749549299478531,0.044921036809682846,0.7808569073677063,0.08188216388225555,0.04581552743911743,0.7934750914573669
18,0.07749924808740616,0.04492296651005745,0.7808542251586914,0.08188216388225555,0.04581552743911743,0.7934750914573669
19,0.07749847322702408,0.044922564178705215,0.7822940349578857,0.08188216388225555,0.04581552743911743,0.7934750914573669
